Cultivo;Campaña;Provincia;Departamento;idProvincia;idDepartamento;Rendimiento
Girasol;2019/20;"BUENOS AIRES";"25 DE MAYO";6;854;2035
Girasol;2020/21;"BUENOS AIRES";"25 DE MAYO";6;854;2340
Girasol;2021/22;"BUENOS AIRES";"25 DE MAYO";6;854;2162
Girasol;2019/20;"BUENOS AIRES";"9 DE JULIO";6;588;2800
Girasol;2020/21;"BUENOS AIRES";"9 DE JULIO";6;588;2500
Girasol;2021/22;"BUENOS AIRES";"9 DE JULIO";6;588;2700
Girasol;2019/20;"BUENOS AIRES";"ADOLFO ALSINA";6;7;1900
Girasol;2020/21;"BUENOS AIRES";"ADOLFO ALSINA";6;7;2080
Girasol;2021/22;"BUENOS AIRES";"ADOLFO ALSINA";6;7;2100
Girasol;2019/20;"BUENOS AIRES";"ADOLFO GONZALES CHAVES";6;14;2000
Girasol;2020/21;"BUENOS AIRES";"ADOLFO GONZALES CHAVES";6;14;1700
Girasol;2021/22;"BUENOS AIRES";"ADOLFO GONZALES CHAVES";6;14;1870
Girasol;2019/20;"BUENOS AIRES";ALBERTI;6;21;2800
Girasol;2019/20;"BUENOS AIRES";ARRECIFES;6;77;3000
Girasol;2020/21;"BUENOS AIRES";ARRECIFES;6;77;2800
Girasol;2021/22;"BUENOS AIRES";ARRECIFES;6;77;2900
Girasol;2019/20;"BUENOS AIRES";AYACUCHO;6;42;2300
Girasol;2020/21;"BUENOS AIRES";AYACUCHO;6;42;2400
Girasol;2021/22;"BUENOS AIRES";AYACUCHO;6;42;2200
Girasol;2019/20;"BUENOS AIRES";AZUL;6;49;2100
Girasol;2020/21;"BUENOS AIRES";AZUL;6;49;2400
Girasol;2021/22;"BUENOS AIRES";AZUL;6;49;2000
Girasol;2019/20;"BUENOS AIRES";"BAHIA BLANCA";6;56;600
Girasol;2020/21;"BUENOS AIRES";"BAHIA BLANCA";6;56;800
Girasol;2021/22;"BUENOS AIRES";"BAHIA BLANCA";6;56;1000
Girasol;2019/20;"BUENOS AIRES";BALCARCE;6;63;2100
Girasol;2020/21;"BUENOS AIRES";BALCARCE;6;63;2200
Girasol;2021/22;"BUENOS AIRES";BALCARCE;6;63;2100
Girasol;2021/22;"BUENOS AIRES";BARADERO;6;70;2901
Girasol;2019/20;"BUENOS AIRES";"BENITO JUAREZ";6;84;1900
Girasol;2020/21;"BUENOS AIRES";"BENITO JUAREZ";6;84;2100
Girasol;2021/22;"BUENOS AIRES";"BENITO JUAREZ";6;84;1800
Girasol;2019/20;"BUENOS AIRES";BOLIVAR;6;105;2300
Girasol;2020/21;"BUENOS AIRES";BOLIVAR;6;105;2100
Girasol;2021/22;"BUENOS AIRES";BOLIVAR;6;105;1630
Girasol;2019/20;"BUENOS AIRES";BRAGADO;6;112;2800
Girasol;2020/21;"BUENOS AIRES";BRAGADO;6;112;2500
Girasol;2021/22;"BUENOS AIRES";BRAGADO;6;112;2700
Girasol;2019/20;"BUENOS AIRES";BRANDSEN;6;119;2201
Girasol;2020/21;"BUENOS AIRES";BRANDSEN;6;119;2600
Girasol;2021/22;"BUENOS AIRES";BRANDSEN;6;119;2400
Girasol;2019/20;"BUENOS AIRES";CANUELAS;6;134;2200
Girasol;2020/21;"BUENOS AIRES";CANUELAS;6;134;2800
Girasol;2021/22;"BUENOS AIRES";CANUELAS;6;134;2400
Girasol;2021/22;"BUENOS AIRES";"CAPITAN SARMIENTO";6;140;3000
Girasol;2019/20;"BUENOS AIRES";"CARLOS CASARES";6;147;2700
Girasol;2020/21;"BUENOS AIRES";"CARLOS CASARES";6;147;3100
Girasol;2021/22;"BUENOS AIRES";"CARLOS CASARES";6;147;2800
Girasol;2019/20;"BUENOS AIRES";"CARLOS TEJEDOR";6;154;2600
Girasol;2020/21;"BUENOS AIRES";"CARLOS TEJEDOR";6;154;2300
Girasol;2021/22;"BUENOS AIRES";"CARLOS TEJEDOR";6;154;2500
Girasol;2020/21;"BUENOS AIRES";"CARMEN DE ARECO";6;161;2200
Girasol;2021/22;"BUENOS AIRES";"CARMEN DE ARECO";6;161;2600
Girasol;2019/20;"BUENOS AIRES";CASTELLI;6;168;2400
Girasol;2020/21;"BUENOS AIRES";CASTELLI;6;168;2500
Girasol;2021/22;"BUENOS AIRES";CASTELLI;6;168;2200
Girasol;2019/20;"BUENOS AIRES";CHACABUCO;6;210;3100
Girasol;2020/21;"BUENOS AIRES";CHACABUCO;6;210;2300
Girasol;2021/22;"BUENOS AIRES";CHACABUCO;6;210;2500
Girasol;2019/20;"BUENOS AIRES";CHASCOMUS;6;217;2200
Girasol;2020/21;"BUENOS AIRES";CHASCOMUS;6;217;2700
Girasol;2021/22;"BUENOS AIRES";CHASCOMUS;6;217;2400
