Cultivo,Campana,Provincia,Departamento,ID Provincia,ID Departamento,Rendimiento (Kg/Ha)
Cebada,2016/17,BUENOS AIRES,25 DE MAYO,6,854,3800
Cebada,2017/18,BUENOS AIRES,25 DE MAYO,6,854,3200
Cebada,2018/19,BUENOS AIRES,25 DE MAYO,6,854,4000
Cebada,2019/20,BUENOS AIRES,25 DE MAYO,6,854,4000
Cebada,2020/21,BUENOS AIRES,25 DE MAYO,6,854,4500
Cebada,2021/22,BUENOS AIRES,25 DE MAYO,6,854,4680
Cebada,2022/23,BUENOS AIRES,25 DE MAYO,6,854,3978
Cebada,2023/24,BUENOS AIRES,25 DE MAYO,6,854,4076
Cebada,2024/25,BUENOS AIRES,25 DE MAYO,6,854,4280
Cebada,2016/17,BUENOS AIRES,9 DE JULIO,6,588,4500
Cebada,2017/18,BUENOS AIRES,9 DE JULIO,6,588,4500
Cebada,2018/19,BUENOS AIRES,9 DE JULIO,6,588,4900
Cebada,2019/20,BUENOS AIRES,9 DE JULIO,6,588,4000
Cebada,2020/21,BUENOS AIRES,9 DE JULIO,6,588,4000
Cebada,2021/22,BUENOS AIRES,9 DE JULIO,6,588,5000
Cebada,2022/23,BUENOS AIRES,9 DE JULIO,6,588,2500
Cebada,2023/24,BUENOS AIRES,9 DE JULIO,6,588,2500
Cebada,2024/25,BUENOS AIRES,9 DE JULIO,6,588,4000
Cebada,2016/17,BUENOS AIRES,ADOLFO ALSINA,6,7,3600
Cebada,2017/18,BUENOS AIRES,ADOLFO ALSINA,6,7,3000
Cebada,2018/19,BUENOS AIRES,ADOLFO ALSINA,6,7,3200
Cebada,2019/20,BUENOS AIRES,ADOLFO ALSINA,6,7,2100
Cebada,2020/21,BUENOS AIRES,ADOLFO ALSINA,6,7,2850
Cebada,2021/22,BUENOS AIRES,ADOLFO ALSINA,6,7,3300
Cebada,2022/23,BUENOS AIRES,ADOLFO ALSINA,6,7,2700
Cebada,2023/24,BUENOS AIRES,ADOLFO ALSINA,6,7,2800
Cebada,2024/25,BUENOS AIRES,ADOLFO ALSINA,6,7,2700
Cebada,2016/17,BUENOS AIRES,ADOLFO GONZALES CHAVES,6,14,3300
Cebada,2017/18,BUENOS AIRES,ADOLFO GONZALES CHAVES,6,14,4400
Cebada,2018/19,BUENOS AIRES,ADOLFO GONZALES CHAVES,6,14,4300
