Cultivo,Campaña,Provincia,Departamento,idProvincia,idDepartamento,Rendimiento
Maíz,2018/19,BUENOS AIRES,25 DE MAYO,6,854,8500
Maíz,2019/20,BUENOS AIRES,25 DE MAYO,6,854,8100
Maíz,2020/21,BUENOS AIRES,25 DE MAYO,6,854,7910
Maíz,2021/22,BUENOS AIRES,25 DE MAYO,6,854,7350
Maíz,2022/23,BUENOS AIRES,25 DE MAYO,6,854,4890
Maíz,2018/19,BUENOS AIRES,9 DE JULIO,6,588,9000
Maíz,2019/20,BUENOS AIRES,9 DE JULIO,6,588,8350
Maíz,2020/21,BUENOS AIRES,9 DE JULIO,6,588,9000
Maíz,2021/22,BUENOS AIRES,9 DE JULIO,6,588,8000
Maíz,2022/23,BUENOS AIRES,9 DE JULIO,6,588,4000
Maíz,2018/19,BUENOS AIRES,ADOLFO ALSINA,6,7,7200
Maíz,2019/20,BUENOS AIRES,ADOLFO ALSINA,6,7,6200
Maíz,2020/21,BUENOS AIRES,ADOLFO ALSINA,6,7,5500
Maíz,2021/22,BUENOS AIRES,ADOLFO ALSINA,6,7,7200
Maíz,2022/23,BUENOS AIRES,ADOLFO ALSINA,6,7,5500
Maíz,2018/19,BUENOS AIRES,ADOLFO GONZALES CHAVES,6,14,6600
Maíz,2019/20,BUENOS AIRES,ADOLFO GONZALES CHAVES,6,14,5800
Maíz,2020/21,BUENOS AIRES,ADOLFO GONZALES CHAVES,6,14,7000
Maíz,2021/22,BUENOS AIRES,ADOLFO GONZALES CHAVES,6,14,3500
Maíz,2022/23,BUENOS AIRES,ADOLFO GONZALES CHAVES,6,14,4600
Maíz,2018/19,BUENOS AIRES,ALBERTI,6,21,9000
Maíz,2019/20,BUENOS AIRES,ALBERTI,6,21,8350
Maíz,2020/21,BUENOS AIRES,ALBERTI,6,21,9000
Maíz,2021/22,BUENOS AIRES,ALBERTI,6,21,8000
Maíz,2022/23,BUENOS AIRES,ALBERTI,6,21,3000
Maíz,2018/19,BUENOS AIRES,ARRECIFES,6,77,11000
Maíz,2019/20,BUENOS AIRES,ARRECIFES,6,77,8400
Maíz,2020/21,BUENOS AIRES,ARRECIFES,6,77,8100
Maíz,2021/22,BUENOS AIRES,ARRECIFES,6,77,6750
Maíz,2022/23,BUENOS AIRES,ARRECIFES,6,77,4600
Maíz,2018/19,BUENOS AIRES,AYACUCHO,6,42,7000
Maíz,2019/20,BUENOS AIRES,AYACUCHO,6,42,7000
Maíz,2020/21,BUENOS AIRES,AYACUCHO,6,42,7500
Maíz,2021/22,BUENOS AIRES,AYACUCHO,6,42,6800
Maíz,2022/23,BUENOS AIRES,AYACUCHO,6,42,5000
Maíz,2018/19,BUENOS AIRES,AZUL,6,49,7500
Maíz,2019/20,BUENOS AIRES,AZUL,6,49,8200
Maíz,2020/21,BUENOS AIRES,AZUL,6,49,7000
Maíz,2021/22,BUENOS AIRES,AZUL,6,49,6600
Maíz,2022/23,BUENOS AIRES,AZUL,6,49,5700
Maíz,2020/21,BUENOS AIRES,BAHIA BLANCA,6,56,4000
Maíz,2021/22,BUENOS AIRES,BAHIA BLANCA,6,56,3000
Maíz,2018/19,BUENOS AIRES,BALCARCE,6,63,8500
Maíz,2019/20,BUENOS AIRES,BALCARCE,6,63,7800
Maíz,2020/21,BUENOS AIRES,BALCARCE,6,63,7000
Maíz,2021/22,BUENOS AIRES,BALCARCE,6,63,6700
Maíz,2022/23,BUENOS AIRES,BALCARCE,6,63,6200
Maíz,2018/19,BUENOS AIRES,BARADERO,6,70,10500
Maíz,2019/20,BUENOS AIRES,BARADERO,6,70,8600
Maíz,2020/21,BUENOS AIRES,BARADERO,6,70,8100
Maíz,2021/22,BUENOS AIRES,BARADERO,6,70,6700
Maíz,2022/23,BUENOS AIRES,BARADERO,6,70,4400
Maíz,2018/19,BUENOS AIRES,BENITO JUAREZ,6,84,6000
Maíz,2019/20,BUENOS AIRES,BENITO JUAREZ,6,84,6000
Maíz,2020/21,BUENOS AIRES,BENITO JUAREZ,6,84,6000
