Mes,ipc,dolar,iipc
junio - 2022,793,125.23,7.352080706
julio - 2022,851.8,131.27,6.844564452
agosto - 2022,911.1,131.27,6.399078038
septiembre - 2022,967.3,147.32,6.027292464
octubre - 2022,1028.7,156.91,5.667541557
noviembre - 2022,1079.3,167.28,5.401834522
diciembre - 2022,1134.6,177.16,5.138551031
enero - 2023,1203,187,4.84638404
febrero - 2023,1282.7,197.15,4.5452561
marzo - 2023,1381.2,209.01,4.221112076
abril - 2023,1497.2,222.68,3.894068929
mayo - 2023,1613.6,239.5,3.613163114
junio - 2023,1709.6,256.7,3.410271409
julio - 2023,1818.1,275.25,3.206754304
agosto - 2023,2044.3,350.1,2.851929756
septiembre - 2023,2304.9,349.95,2.529480672
octubre - 2023,2496.3,349.95,2.335536594
noviembre - 2023,2816.1,360.5,2.070310003
diciembre - 2023,3533.2,808.45,1.650118872
enero - 2024,4261.5,826.4,1.36810982
febrero - 2024,4825.8,842.2,1.208131294
marzo - 2024,5357.1,858,1.088312707
abril - 2024,5830.2,876.5,1
