Mes,ipc,dolar,iipc,fecha
Junio - 2022,793,125.23,7.65889480797521,06/2022
Julio - 2022,851.8,131.27,7.13077553445157,06/2022
Agosto - 2022,911.1,131.27,6.6661243008145,06/2022
Septiembre - 2022,967.3,147.32,6.27899181191174,09/2022
Octubre - 2022,1028.7,156.91,5.90422968272762,10/2022
Noviembre - 2022,1079.3,167.28,5.62757006137525,11/2022
Diciembre - 2022,1134.6,177.16,5.35323763041634,12/2022
Enero - 2023,1203,187,5.04889653102839,01/2023
Febrero - 2023,1282.7,197.15,4.73506931540441,02/2023
Marzo - 2023,1381.2,209.01,4.39754703310644,03/2023
Abril - 2023,1497.2,222.68,4.05667704170952,04/2023
Mayo - 2023,1613.6,239.5,3.76410264196687,05/2023
Junio - 2023,1709.6,256.7,3.5526881399663,06/2023
Julio - 2023,1818.1,275.25,3.34072417344019,07/2023
Agosto - 2023,2044.3,350.1,2.97107391969958,08/2023
Septiembre - 2023,2304.9,349.95,2.63510465984087,09/2023
Octubre - 2023,2496.3,349.95,2.43311388618152,10/2023
Noviembre - 2023,2816.1,360.5,2.15681145321049,11/2023
Diciembre - 2023,3533.2,808.45,1.71904503242139,12/2023
Enero - 2024,4261.5,826.4,1.42524236117506,01/2024
Febrero - 2024,4825.8,842.2,1.25859577215999,02/2024
Marzo - 2024,5357.1,858,1.1337709861257,03/2024
Abril - 2024,5830.2,876.5,1.04176327882665,04/2024
Mayo - 2025,6073.7,895.5,1,05/2024
