Mes,ipc,dolar,iipc,fecha,fecha1
Julio - 2022,851.8,131.27,7.130775534,jun-22,630
Agosto - 2022,911.1,131.27,6.666124301,jun-22,631
Septiembre - 2022,967.3,147.32,6.278991812,sep-22,632
Octubre - 2022,1028.7,156.91,5.904229683,oct-22,633
Noviembre - 2022,1079.3,167.28,5.627570061,nov-22,634
Diciembre - 2022,1134.6,177.16,5.35323763,dic-22,635
Enero - 2023,1203,187,5.048896531,ene-23,636
Febrero - 2023,1282.7,197.15,4.735069315,feb-23,637
Marzo - 2023,1381.2,209.01,4.397547033,mar-23,638
Abril - 2023,1497.2,222.68,4.056677042,abr-23,639
Mayo - 2023,1613.6,239.5,3.764102642,may-23,640
Junio - 2023,1709.6,256.7,3.55268814,jun-23,641
Julio - 2023,1818.1,275.25,3.340724173,jul-23,642
Agosto - 2023,2044.3,350.1,2.97107392,ago-23,643
Septiembre - 2023,2304.9,349.95,2.63510466,sep-23,644
Octubre - 2023,2496.3,349.95,2.433113886,oct-23,645
Noviembre - 2023,2816.1,360.5,2.156811453,nov-23,646
Diciembre - 2023,3533.2,808.45,1.719045032,dic-23,647
Enero - 2024,4261.5,826.4,1.425242361,ene-24,648
Febrero - 2024,4825.8,842.2,1.258595772,feb-24,649
Marzo - 2024,5357.1,858,1.133770986,mar-24,650
Abril - 2024,5830.2,876.5,1.041763279,abr-24,651
Mayo - 2024,6073.7,895.5,1,may-24,652
Junio - 2024,6073.7,895.5,1,jun-24,653
