Mes,ipc,dolar,iipc,fecha,fecha1
Noviembre - 2022,1079.3,167.28,7.954785509126286,11/2022,634
Diciembre - 2022,1134.6,177.16,7.567072095892827,12/2022,635
Enero - 2023,1203.0,187.0,7.136824605153783,01/2023,636
Febrero - 2023,1282.7,197.15,6.693381149138536,02/2023,637
Marzo - 2023,1381.2,209.01,6.216044019693021,03/2023,638
Abril - 2023,1497.2,222.68,5.734437616884851,04/2023,639
Mayo - 2023,1613.6,239.5,5.32077342588002,05/2023,640
Junio - 2023,1709.6,256.7,5.021993448759944,06/2023,641
Julio - 2023,1818.1,275.25,4.722292503162643,07/2023,642
Agosto - 2023,2044.3,350.1,4.199774984102138,08/2023,643
Septiembre - 2023,2304.9,349.95,3.7249338366089635,09/2023,644
Octubre - 2023,2496.3,349.95,3.439330208708889,10/2023,645
Noviembre - 2023,2816.1,360.5,3.048755370903022,11/2023,646
Diciembre - 2023,3533.2,808.45,2.4299784897543306,12/2023,647
Enero - 2024,4261.5,826.4,2.014689663264109,01/2024,648
Febrero - 2024,4825.8,842.2,1.7791039827593353,02/2024,649
Marzo - 2024,5357.1,858.0,1.60265815459857,03/2024,650
Abril - 2024,5830.2,876.5,1.472608143802957,04/2024,651
Mayo - 2024,6073.7,895.5,1.4135699820537728,05/2024,652
Junio - 2024,6351.7,912.0,1.3517011193853614,06/2024,653
Julio - 2024,6607.7,932.0,1.299332596818863,07/2024,654
Agosto - 2024,6883.4,953.5,1.247290583142052,08/2024,655
Septiembre - 2024,7122.2,969.0,1.205470219875881,09/2024,656
Octubre - 2024,7314.0,992.0,1.173858353841947,10/2024,657
Noviembre - 2024,7491.4,1011.5,1.1460608164028088,11/2024,658
Diciembre - 2024,7694.0,1032.0,1.1158825058487134,12/2024,659
Enero - 2025,7864.1,1053.5,1.0917460357828614,01/2025,660
Febrero - 2025,8053.0,1063.25,1.066136843412393,02/2025,661
Marzo - 2025,8353.3,1073.0,1.0278093687524692,03/2025,662
Abril - 2025,8585.6,1172.0,1.0,4/2025,663
