Mes,ipc,dolar,iipc,fecha,fecha1
Noviembre - 2022,1079.3,167.28,42.86751883,nov-22,634
Diciembre - 2022,1134.6,177.16,40.77781573,dic-22,635
Enero - 2023,1203.0,187,38.45952423,ene-23,636
Febrero - 2023,1282.7,197.15,36.06897308,feb-23,637
Marzo - 2023,1381.2,209.01,33.49792685,mar-23,638
Abril - 2023,1497.2,222.68,30.90137974,abr-23,639
Mayo - 2023,1613.6,239.5,28.67272004,may-23,640
Junio - 2023,1709.6,256.7,27.06228871,jun-23,641
Julio - 2023,1818.1,275.25,25.44767188,jul-23,642
Agosto - 2023,2044.3,350.1,22.63189366,ago-23,643
Septiembre - 2023,2304.9,349.95,20.07267744,sep-23,644
Octubre - 2023,2496.3,349.95,18.53403053,oct-23,645
Noviembre - 2023,2816.1,360.5,16.42932111,nov-23,646
Diciembre - 2023,3533.2,808.45,13.09467399,dic-23,647
Enero - 2024,4261.5,826.4,10.85665804,ene-24,648
Febrero - 2024,4825.8,842.2,9.587242341,feb-24,649
Marzo - 2024,5357.1,858,8.636400537,mar-24,650
Abril - 2024,5830.2,876.5,7.935539938,abr-24,651
Mayo - 2024,6073.7,895.5,7.617411843,may-24,652
Junio - 2024,6351.7,912,7.284017567,jun-24,653
Julio - 2024,6607.7,932,7.00178044,jul-24,654
Agosto - 2024,6883.4,953.5,6.721347456,ago-24,655
Septiembre - 2024,7122.2,969,6.49598811,sep-24,656
Octubre - 2024,7314.0,992,6.325716396,oct-24,657
Noviembre - 2024,7491.4,1011.5,6.175855792,nov-24,658
Diciembre - 2024,7694.0,1032,6.013251222,dic-24,659
Enero - 2025,7864.1,1053.5,5.883171476,ene-25,660
Febrero - 2025,8053.0,1063.25,5.745193337,feb-25,661
Marzo - 2025,8353.3,1073,5.53863892,mar-25,662
Abril - 2025,8585.6,1172,5.388785637,abr-25,663
Mayo - 2025,8714.5,1189,5.309090423,may-25,664
Junio - 2025,8855.6,1203,5.224509538,jun-25,665
Julio - 2025,9024.0,1373,5.127010021,jul-25,666
Agosto - 2025,9193.2,1343,5.032608674,ago-25,667
Septiembre - 2025,9384.1,1380,4.930258464,sep-25,668
Octubre - 2025,9603.9,1435,4.817436835,oct-25,669
Noviembre - 2025,9841.4,1450,4.701180419,nov-25,670
Diciembre - 2025,10121.4,1457,4.571119635,dic-25,671
Enero - 2026,10413.0,1446,4.443086787,ene-26,672
Febrero - 2026,10714.6,1406,4.318023061,feb-26,673
Marzo - 2026,11077.1,1382,4.176739736,mar-26,674
Abril - 2026,11363.1,1391,4.071603619,abr-26,675
Mayo - 2026,11607.4,1391,3.985907706,may-26,676
Junio - 2026,11826.4,1391,3.912091567,jun-26,677
Julio - 2026,12076.4,1391,3.831110607,jul-26,678
Agosto - 2026,12276.8,1391,3.768582052,ago-26,679
Septiembre - 2026,12276.8,1391,1,sep-26,680
