Mes,ipc,dolar,iipc,fecha,fecha1
Noviembre - 2022,1079.3,167.28,10.52821273,11/2022,634
Diciembre - 2022,1134.6,177.16,10.01507139,12/2022,635
Enero - 2023,1203.0,187.0,9.44563591,01/2023,636
Febrero - 2023,1282.7,197.15,8.85873548,02/2023,637
Marzo - 2023,1381.2,209.01,8.226976542,03/2023,638
Abril - 2023,1497.2,222.68,7.589567192,04/2023,639
Mayo - 2023,1613.6,239.5,7.042079822,05/2023,640
Junio - 2023,1709.6,256.7,6.646642489,06/2023,641
Julio - 2023,1818.1,275.25,6.249986249,07/2023,642
Agosto - 2023,2044.3,350.1,5.558430759,08/2023,643
Septiembre - 2023,2304.9,349.95,4.92997527,09/2023,644
Octubre - 2023,2496.3,349.95,4.551976926,10/2023,645
Noviembre - 2023,2816.1,360.5,4.035048471,11/2023,646
Diciembre - 2023,3533.2,808.45,3.21609306,12/2023,647
Enero - 2024,4261.5,826.4,2.666455473,01/2024,648
Febrero - 2024,4825.8,842.2,2.354656223,02/2024,649
Marzo - 2024,5357.1,858.0,2.121128969,03/2024,650
Abril - 2024,5830.2,876.5,1.949006895,04/2024,651
Mayo - 2024,6073.7,895.5,1.870869486,05/2024,652
Junio - 2024,6351.7,912.0,1.788985626,06/2024,653
Julio - 2024,6607.7,932.0,1.71967553,07/2024,654
Agosto - 2024,6883.4,953.5,1.650797571,08/2024,655
Septiembre - 2024,7122.2,969.0,1.595448036,09/2024,656
Octubre - 2024,7314.0,992.0,1.553609516,10/2024,657
Noviembre - 2024,7491.4,1011.5,1.516819286,11/2024,658
Diciembre - 2024,7694.0,1032.0,1.476878087,12/2024,659
Enero - 2025,7864.1,1053.5,1.444933305,01/2025,660
Febrero - 2025,8053.0,1063.25,1.411039364,02/2025,661
Marzo - 2025,8353.3,1073.0,1.360312691,03/2025,662
Abril - 2025,8585.6,1172.0,1.323506802,04/2025,663
Mayo - 2025,8714.5,1189.0,1.303930231,05/2025,664
Junio - 2025,8855.7,1203.0,1.283139673,06/2025,665
Julio - 2025,9024.0,1373.0,1.259208777,07/2025,666
Agosto - 2025,9193.2,1343.0,1.236033155,08/2025,667
Septiembre - 2025,9384.1,1380.0,1.210888631,09/2025,668
Octubre - 2025,9603.9,1435.0,1.183175585,10/2025,669
Noviembre - 2025,9841.4,1450.0,1.15462231,11/2025,670
Diciembre - 2025,10121.4,1457.0,1.122680657,12/2025,671
Enero - 2026,10413.0,1446.0,1.091241717,01/2026,672
Febrero - 2026,10714.6,1406.0,1.060524891,02/2026,673
Marzo - 2026,11077.1,1382.0,1.025819032,03/2026,674
Abril - 2026,11363.1,1391.0,1,04/2026,675
Mayo - 2026,11363.1,1391.0,1,05/2026,676
Junio - 2026,11363.1,1391.0,1,06/2026,677
Julio - 2026,11363.1,1391.0,1,07/2026,678
