Mes,ipc,dolar,iipc,fecha,fecha1
Noviembre - 2022,1079.3,167.28,7.128694524,11/2022,634
Diciembre - 2022,1134.6,177.16,6.781244491,12/2022,635
Enero - 2023,1203,187,6.395677473,01/2023,636
Febrero - 2023,1282.7,197.15,5.998284868,02/2023,637
Marzo - 2023,1381.2,209.01,5.57051839,03/2023,638
Abril - 2023,1497.2,222.68,5.138925995,04/2023,639
Mayo - 2023,1613.6,239.5,4.768220129,05/2023,640
Junio - 2023,1709.6,256.7,4.500467946,06/2023,641
Julio - 2023,1818.1,275.25,4.231890435,07/2023,642
Agosto - 2023,2044.3,350.1,3.763635474,08/2023,643
Septiembre - 2023,2304.9,349.95,3.338105775,09/2023,644
Octubre - 2023,2496.3,349.95,3.082161599,10/2023,645
Noviembre - 2023,2816.1,360.5,2.732147296,11/2023,646
Diciembre - 2023,3533.2,808.45,2.177629345,12/2023,647
Enero - 2024,4261.5,826.4,1.805467558,01/2024,648
Febrero - 2024,4825.8,842.2,1.594347051,02/2024,649
Marzo - 2024,5357.1,858,1.436224823,03/2024,650
Abril - 2024,5830.2,876.5,1.319680285,04/2024,651
Mayo - 2024,6073.7,895.5,1.266773137,05/2024,652
Junio - 2024,6351.7,912,1.21132925,06/2024,653
Julio - 2024,6607.7,932,1.16439911,07/2024,654
Agosto - 2024,6883.4,953.5,1.117761571,08/2024,655
Septiembre - 2024,7122.2,969,1.080284182,09/2024,656
Octubre - 2024,7314,992,1.051955154,10/2024,657
Noviembre - 2024,7491.4,1011.5,1.027044344,11/2024,658
Diciembre - 2024,7694,1032,1,12/2024,659
Enero - 2025,7694,1032,1,01/2025,660
Febrero - 2025,7694,1032,1,02/2025,661
