Mes,ipc,dolar,iipc,fecha,fecha1
Noviembre - 2022,1079.3,167.28,9.64813898,11/2022,634
Diciembre - 2022,1134.6,177.16,9.17781211,12/2022,635
Enero - 2023,1203.0,187.0,8.65603714,01/2023,636
Febrero - 2023,1282.7,197.15,8.11799877,02/2023,637
Marzo - 2023,1381.2,209.01,7.53933661,03/2023,638
Abril - 2023,1497.2,222.68,6.95493499,04/2023,639
Mayo - 2023,1613.6,239.5,6.45333333,05/2023,640
Junio - 2023,1709.6,256.7,6.09087556,06/2023,641
Julio - 2023,1818.1,275.25,5.72747576,07/2023,642
Agosto - 2023,2044.3,350.1,5.09373207,08/2023,643
Septiembre - 2023,2304.9,349.95,4.51773247,09/2023,644
Octubre - 2023,2496.3,349.95,4.17143113,10/2023,645
Noviembre - 2023,2816.1,360.5,3.6977268,11/2023,646
Diciembre - 2023,3533.2,808.45,2.94720194,12/2023,647
Enero - 2024,4261.5,826.4,2.44349448,01/2024,648
Febrero - 2024,4825.8,842.2,2.15778867,02/2024,649
Marzo - 2024,5357.1,858.0,1.94378389,03/2024,650
Abril - 2024,5830.2,876.5,1.78604207,04/2024,651
Mayo - 2024,6073.7,895.5,1.71444138,05/2024,652
Junio - 2024,6351.7,912.0,1.63940475,06/2024,653
Julio - 2024,6607.7,932.0,1.57588199,07/2024,654
Agosto - 2024,6883.4,953.5,1.51276529,08/2024,655
Septiembre - 2024,7122.2,969.0,1.46204394,09/2024,656
Octubre - 2024,7314.0,992.0,1.4237211,10/2024,657
Noviembre - 2024,7491.4,1011.5,1.38999216,11/2024,658
Diciembre - 2024,7694.0,1032.0,1.35339495,12/2024,659
Enero - 2025,7864.1,1053.5,1.32411806,01/2025,660
Febrero - 2025,8053.0,1063.25,1.2930635,02/2025,661
Marzo - 2025,8353.3,1073.0,1.24657455,03/2025,662
Abril - 2025,8585.6,1172.0,1.21284726,04/2025,663
Mayo - 2025,8714.5,1189.0,1.19491036,05/2025,664
Junio - 2025,8855.7,1203.0,1.17587384,06/2025,665
Julio - 2025,9024.0,1373.0,1.15392975,07/2025,666
Agosto - 2025,9193.2,1343.0,1.13268296,08/2025,667
Septiembre - 2025,9384.1,1380.0,1.10964712,09/2025,668
Octubre - 2025,9603.9,1435.0,1.0842545,10/2025,669
Noviembre - 2025,9841.4,1450.0,1.05808881,11/2025,670
Diciembre - 2025,10121.4,1457.0,1.02881619,12/2025,671
Enero - 2026,10413.0,1446.0,1,01/2026,672
Febrero - 2026,10413.0,1446.0,1,02/2026,673
