Mes,ipc,dolar,iipc,fecha,fecha1
Noviembre - 2022,1079.3,167.28,7.286296674,11/2022,634
Diciembre - 2022,1134.6,177.16,6.931165168,12/2022,635
Enero - 2023,1203,187,6.537073982,01/2023,636
Febrero - 2023,1282.7,197.15,6.130895767,02/2023,637
Marzo - 2023,1381.2,209.01,5.693672169,03/2023,638
Abril - 2023,1497.2,222.68,5.252538071,04/2023,639
Mayo - 2023,1613.6,239.5,4.873636589,05/2023,640
Junio - 2023,1709.6,256.7,4.599964904,06/2023,641
Julio - 2023,1818.1,275.25,4.325449645,07/2023,642
Agosto - 2023,2044.3,350.1,3.84684244,08/2023,643
Septiembre - 2023,2304.9,349.95,3.411905072,09/2023,644
Octubre - 2023,2496.3,349.95,3.150302448,10/2023,645
Noviembre - 2023,2816.1,360.5,2.79254998,11/2023,646
Diciembre - 2023,3533.2,808.45,2.225772671,12/2023,647
Enero - 2024,4261.5,826.4,1.845383081,01/2024,648
Febrero - 2024,4825.8,842.2,1.629595093,02/2024,649
Marzo - 2024,5357.1,858,1.467977077,03/2024,650
Abril - 2024,5830.2,876.5,1.348855957,04/2024,651
Mayo - 2024,6073.7,895.5,1.29477913,05/2024,652
Junio - 2024,6351.7,912,1.238109483,06/2024,653
Julio - 2024,6607.7,932,1.190141804,07/2024,654
Agosto - 2024,6883.4,953.5,1.142473196,08/2024,655
Septiembre - 2024,7122.2,969,1.104167252,09/2024,656
Octubre - 2024,7314,992,1.075211922,10/2024,657
Noviembre - 2024,7491.4,1011.5,1.04975038,11/2024,658
Diciembre - 2024,7694,1032,1.022108136,12/2024,659
Enero - 2025,7864.1,1053.5,1,01/2025,660
Febrero - 2025,7864.1,1053.5,1,02/2025,661
Marzo - 2025,7864.1,1053.5,1,03/2025,662
