Mes,ipc,dolar,iipc,fecha,fecha1
Julio - 2022,851.8,131.27,7.75733740,jun-22,630
Agosto - 2022,911.1,131.27,7.25244210,jun-22,631
Septiembre - 2022,967.3,147.32,6.83107619,sep-22,632
Octubre - 2022,1028.7,156.91,6.42334986,oct-22,633
Noviembre - 2022,1079.3,167.28,6.12220884,nov-22,634
Diciembre - 2022,1134.6,177.16,5.82381456,dic-22,635
Enero - 2023,1203,187,5.49268495,ene-23,636
Febrero - 2023,1282.7,197.15,5.15139939,feb-23,637
Marzo - 2023,1381.2,209.01,4.78402838,mar-23,638
Abril - 2023,1497.2,222.68,4.41337163,abr-23,639
Mayo - 2023,1613.6,239.5,4.09500496,may-23,640
Junio - 2023,1709.6,256.7,3.86505615,jun-23,641
Julio - 2023,1818.1,275.25,3.63439855,jul-23,642
Agosto - 2023,2044.3,350.1,3.23225554,ago-23,643
Septiembre - 2023,2304.9,349.95,2.86680550,sep-23,644
Octubre - 2023,2496.3,349.95,2.64699756,oct-23,645
Noviembre - 2023,2816.1,360.5,2.34640105,nov-23,646
Diciembre - 2023,3533.2,808.45,1.87017435,dic-23,647
Enero - 2024,4261.5,826.4,1.55055732,ene-24,648
Febrero - 2024,4825.8,842.2,1.36924448,feb-24,649
Marzo - 2024,5357.1,858,1.23344720,mar-24,650
Abril - 2024,5830.2,876.5,1.13335735,abr-24,651
Mayo - 2024,6073.7,895.5,1.08792005,may-24,652
Junio - 2024,6351.7,912,1.04030417,jun-24,653
Julio - 2024,6607.7,932,1,jul-24,654
Agosto - 2024,6607.7,932,1,ago-24,655
