Mes,ipc,dolar,iipc,fecha,fecha1
julio - 2022,851.8,131.27,7.130775534,06/2022,630
agosto - 2022,911.1,131.27,6.666124301,06/2022,631
septiembre - 2022,967.3,147.32,6.278991812,09/2022,632
octubre - 2022,1028.7,156.91,5.904229683,10/2022,633
noviembre - 2022,1079.3,167.28,5.627570061,11/2022,634
diciembre - 2022,1134.6,177.16,5.35323763,12/2022,635
enero - 2023,1203,187,5.048896531,01/2023,636
febrero - 2023,1282.7,197.15,4.735069315,02/2023,637
marzo - 2023,1381.2,209.01,4.397547033,03/2023,638
abril - 2023,1497.2,222.68,4.056677042,04/2023,639
mayo - 2023,1613.6,239.5,3.764102642,05/2023,640
junio - 2023,1709.6,256.7,3.55268814,06/2023,641
julio - 2023,1818.1,275.25,3.340724173,07/2023,642
agosto - 2023,2044.3,350.1,2.97107392,08/2023,643
septiembre - 2023,2304.9,349.95,2.63510466,09/2023,644
octubre - 2023,2496.3,349.95,2.433113886,10/2023,645
noviembre - 2023,2816.1,360.5,2.156811453,11/2023,646
diciembre - 2023,3533.2,808.45,1.719045032,12/2023,647
enero - 2024,4261.5,826.4,1.425242361,01/2024,648
febrero - 2024,4825.8,842.2,1.258595772,02/2024,649
marzo - 2024,5357.1,858,1.133770986,03/2024,650
abril - 2024,5830.2,876.5,1.041763279,04/2024,651
mayo - 2024,6073.7,895.5,1.045771112,05/2024,652
junio - 2024,6351.7,912,1,06/2024,653
