Mes,ipc,dolar,iipc,fecha,fecha1
Noviembre - 2022,1079.3,167.28,7.73955341,11/2022,634
Diciembre - 2022,1134.6,177.16,7.36233034,12/2022,635
Enero - 2023,1203,187,6.94372402,01/2023,636
Febrero - 2023,1282.7,197.15,6.51227879,02/2023,637
Marzo - 2023,1381.2,209.01,6.04785694,03/2023,638
Abril - 2023,1497.2,222.68,5.57928133,04/2023,639
Mayo - 2023,1613.6,239.5,5.17680962,05/2023,640
Junio - 2023,1709.6,256.7,4.88611371,06/2023,641
Julio - 2023,1818.1,275.25,4.59452175,07/2023,642
Agosto - 2023,2044.3,350.1,4.08614196,08/2023,643
Septiembre - 2023,2304.9,349.95,3.62414855,09/2023,644
Octubre - 2023,2496.3,349.95,3.34627248,10/2023,645
Noviembre - 2023,2816.1,360.5,2.9662654,11/2023,646
Diciembre - 2023,3533.2,808.45,2.36423073,12/2023,647
Enero - 2024,4261.5,826.4,1.96017834,01/2024,648
Febrero - 2024,4825.8,842.2,1.73096689,02/2024,649
Marzo - 2024,5357.1,858,1.55929514,03/2024,650
Abril - 2024,5830.2,876.5,1.43276388,04/2024,651
Mayo - 2024,6073.7,895.5,1.37532311,05/2024,652
Junio - 2024,6351.7,912,1.31512823,06/2024,653
Julio - 2024,6607.7,932,1.26417664,07/2024,654
Agosto - 2024,6883.4,953.5,1.21354273,08/2024,655
Septiembre - 2024,7122.2,969,1.17285389,09/2024,656
Octubre - 2024,7314,992,1.14209735,10/2024,657
Noviembre - 2024,7491.4,1011.5,1.11505193,11/2024,658
Diciembre - 2024,7694,1032,1.08569015,12/2024,659
Enero - 2025,7864.1,1053.5,1.06220674,01/2025,660
Febrero - 2025,8053,1063.25,1.03729045,02/2025,661
Marzo,8353.3,1073,1,03/2025,662
