Mes,ipc,dolar,iipc,fecha,fecha1
Noviembre - 2022,1079.3,167.28,8.07421476883165,11/2022,634
Diciembre - 2022,1134.6,177.16,7.680680416005641,12/2022,635
Enero - 2023,1203.0,187.0,7.243973399833749,01/2023,636
Febrero - 2023,1282.7,197.15,6.793872300615888,02/2023,637
Marzo - 2023,1381.2,209.01,6.309368664929047,03/2023,638
Abril - 2023,1497.2,222.68,5.8205316590969804,04/2023,639
Mayo - 2023,1613.6,239.5,5.4006569162121965,05/2023,640
Junio - 2023,1709.6,256.7,5.097391202620496,06/2023,641
Julio - 2023,1818.1,275.25,4.793190693581211,07/2023,642
Agosto - 2023,2044.3,350.1,4.2628283520031305,08/2023,643
Septiembre - 2023,2304.9,349.95,3.780858171721116,09/2023,644
Octubre - 2023,2496.3,349.95,3.4909666306133076,10/2023,645
Noviembre - 2023,2816.1,360.5,3.0945278931856115,11/2023,646
Diciembre - 2023,3533.2,808.45,2.4664609985282464,12/2023,647
Enero - 2024,4261.5,826.4,2.044937228675349,01/2024,648
Febrero - 2024,4825.8,842.2,1.805814579966016,02/2024,649
Marzo - 2024,5357.1,858.0,1.62671968042411,03/2024,650
Abril - 2024,5830.2,876.5,1.494717162361497,04/2024,651
Mayo - 2024,6073.7,895.5,1.4347926305217578,05/2024,652
Junio - 2024,6351.7,912.0,1.3719948990034165,06/2024,653
Julio - 2024,6607.7,932.0,1.3188401410475659,07/2024,654
Agosto - 2024,6883.4,953.5,1.2660167940262081,08/2024,655
Septiembre - 2024,7122.2,969.0,1.223568560276319,09/2024,656
Octubre - 2024,7314.0,992.0,1.1914820891441071,10/2024,657
Noviembre - 2024,7491.4,1011.5,1.163267213070988,11/2024,658
Diciembre - 2024,7694.0,1032.0,1.1326358201195736,12/2024,659
Enero - 2025,7864.1,1053.5,1.1081369768950038,01/2025,660
Febrero - 2025,8053.0,1063.25,1.0821433006333043,02/2025,661
Marzo - 2025,8353.3,1073.0,1.0432403960111574,03/2025,662
Abril - 2025,8585.6,1172.0,1.0150135109951546,04/2025,663
Mayo - 2025,8585.6,1172.0,1.0150135109951546,05/2025,664
Junio - 2025,8714.5,1189.0,1.0,06/2025,665
Julio - 2025,8714.5,1189.0,1.0,07/2025,666
