Mes,ipc,dolar,iipc,fecha,fecha1
Noviembre - 2022,1079.3,167.28,8.89826739553414,11/2022,634
Diciembre - 2022,1134.6,177.16,8.46456901110524,12/2022,635
Enero - 2023,1203.0,187.0,7.98329177057357,01/2023,636
Febrero - 2023,1282.7,197.15,7.48725344975442,02/2023,637
Marzo - 2023,1381.2,209.01,6.95330147697654,03/2023,638
Abril - 2023,1497.2,222.68,6.41457387122629,04/2023,639
Mayo - 2023,1613.6,239.5,5.95184680218146,05/2023,640
Junio - 2023,1709.6,256.7,5.61762985493683,06/2023,641
Julio - 2023,1818.1,275.25,5.28238270722183,07/2023,642
Agosto - 2023,2044.3,350.1,4.69789169887003,08/2023,643
Septiembre - 2023,2304.9,349.95,4.16673174541195,09/2023,644
Octubre - 2023,2496.3,349.95,3.84725393582502,10/2023,645
Noviembre - 2023,2816.1,360.5,3.41035474592522,11/2023,646
Diciembre - 2023,3533.2,808.45,2.71818747877278,12/2023,647
Enero - 2024,4261.5,826.4,2.25364308342133,01/2024,648
Febrero - 2024,4825.8,842.2,1.99011562849683,02/2024,649
Marzo - 2024,5357.1,858.0,1.79274234193874,03/2024,650
Abril - 2024,5830.2,876.5,1.6472676752084,04/2024,651
Mayo - 2024,6073.7,895.5,1.58122725850799,05/2024,652
Junio - 2024,6351.7,912.0,1.51202040398633,06/2024,653
Julio - 2024,6607.7,932.0,1.45344068283972,07/2024,654
Agosto - 2024,6883.4,953.5,1.39522619635645,08/2024,655
Septiembre - 2024,7122.2,969.0,1.3484457049788,09/2024,656
Octubre - 2024,7314.0,992.0,1.31308449548811,10/2024,657
Noviembre - 2024,7491.4,1011.5,1.28199001521745,11/2024,658
Diciembre - 2024,7694.0,1032.0,1.24823238887445,12/2024,659
Enero - 2025,7864.1,1053.5,1.22123319896746,01/2025,660
Febrero - 2025,8053.0,1063.25,1.19258661368434,02/2025,661
Marzo - 2025,8353.3,1073.0,1.14971328696443,03/2025,662
Abril - 2025,8585.6,1172.0,1.11860557212076,04/2025,663
Mayo - 2025,8714.5,1189.0,1.10205978541511,05/2025,664
Junio - 2025,8855.7,1203.0,1.08448795690911,06/2025,665
Julio - 2025,9024.0,1373.0,1.06426196808511,07/2025,666
Agosto - 2025,9193.2,1343.0,1.04467432450072,08/2025,667
Septiembre - 2025,9384.1,1380.0,1.0234225977984,09/2025,668
Octubre - 2025,9603.9,1435.0,1,10/2025,669
Noviembre - 2025,9603.9,1435.0,1,11/2025,670
Diciembre - 2025,9603.9,1435.0,1,12/2025,671
