variable,valor
ptrigo,230.0
pmaiz,220.0
psoja1,325.0
psoja2,325.0
pgirasol,320.0
pcebada,180.0
psorgo,210.0
ctrigo15,238.0
cmaiz15,333.7
csoja115,365.6
csoja215,249.0
cgirasol15,222.3
notuse15,487.0
ccebada15,230.4
csorgo15,248.9
csoja114,321.2
csoja214,270.9
cgirasol14,307.0
notuse14,448.3
csorgo14,243.1
ctrigo14,177.4
cmaiz14,318.4
ctrigo1,349.9
cmaiz1,574.3
csoja11,306.0
csoja21,237.1
cgirasol1,284.9
ccebada1,587.1
csorgo1,361.9
ctrigo2,407.3
cmaiz2,572.5
csoja12,295.5
csoja22,237.1
cgirasol2,284.9
ccebada2,644.5
csorgo2,392.1
ctrigo3,320.3
cmaiz3,515.3
csoja13,269.2
csoja23,236.5
cgirasol3,302.5
ccebada3,556.8
csorgo3,352.6
ctrigo4,287.1
cmaiz4,352.0
csoja14,241.3
csoja24,237.0
cgirasol4,275.6
ccebada4,524.1
csorgo4,308.5
ctrigo5,358.8
cmaiz5,375.9
csoja15,296.4
csoja25,237.0
cgirasol5,287.2
ccebada5,595.8
csorgo5,366.1
ctrigo6,311.5
cmaiz6,391.6
csoja16,276.3
csoja26,237.0
cgirasol6,275.6
ccebada6,548.5
csorgo6,366.1
ctrigo7,318.9
cmaiz7,380.4
csoja17,270.2
csoja27,237.0
cgirasol7,275.6
ccebada7,555.8
csorgo7,366.1
ctrigo8,361.8
cmaiz8,436.2
csoja18,282.3
csoja28,237.0
cgirasol8,275.6
ccebada8,598.8
csorgo8,244.1
ctrigo9,343.6
cmaiz9,401.0
csoja19,343.7
csoja29,228.6
cgirasol9,289.5
ccebada9,572.3
csorgo9,273.5
ctrigo10,308.9
cmaiz10,418.3
csoja110,358.0
csoja210,228.6
cgirasol10,289.5
ccebada10,537.6
csorgo10,266.9
ctrigo11,283.3
cmaiz11,409.0
csoja111,347.7
csoja211,228.6
cgirasol11,289.5
ccebada11,512.0
csorgo11,243.1
ctrigo12,320.6
cmaiz12,518.1
csoja112,309.3
csoja212,237.1
cgirasol12,299.7
ccebada12,557.8
csorgo12,293.9
ctrigo13,212.1
cmaiz13,352.7
csoja113,312.5
csoja213,228.6
cgirasol13,289.5
ccebada13,440.8
csorgo13,217.2
ctrigo16,262.1
cmaiz16,451.8
csoja116,269.7
csoja216,249.0
cgirasol16,267.5
ccebada16,511.1
csorgo16,246.5
gtrigo1,145.7
gmaiz1,367.7
gsoja11,202.9
gsoja21,152.0
ggirasol1,110.3
gnada1,297.7
gcebada1,122.6
gsorgo1,266.2
gtrigo2,180.8
gmaiz2,387.5
gsoja12,220.3
gsoja22,132.9
ggirasol2,136.7
gnada2,313.7
gcebada2,166.9
gsorgo2,293.6
gtrigo3,186.2
gmaiz3,487.5
gsoja13,239.3
gsoja23,175.1
ggirasol3,154.8
gnada3,361.3
gcebada3,173.4
gsorgo3,298.4
gtrigo4,103.6
gmaiz4,249.7
gsoja14,129.9
gsoja24,106.6
ggirasol4,87.8
gnada4,210.3
gcebada4,120.9
gsorgo4,107.8
gtrigo5,187.4
gmaiz5,321.0
gsoja15,138.3
gsoja25,83.2
ggirasol5,105.2
gnada5,270.6
gcebada5,189.1
gsorgo5,113.2
gtrigo6,174.0
gmaiz6,327.5
gsoja16,183.1
gsoja26,116.4
ggirasol6,103.0
gnada6,290.4
gcebada6,184.5
gsorgo6,209.8
gtrigo7,185.1
gmaiz7,329.8
gsoja17,196.4
gsoja27,116.6
ggirasol7,114.0
