variable,valor
pgirasol,310.0
pcebada,215.0
psorgo,195.0
ptrigo,203.2
psoja1,290.6
psoja2,290.6
pmaiz,181.6
ctrigo1,340.0
cmaiz1,612.4
csoja11,309.0
csoja21,231.8
cgirasol1,310.0
notuse1,571.8
ccebada1,434.3
csorgo1,364.5
ctrigo2,393.4
cmaiz2,617.8
csoja12,302.3
csoja22,231.8
cgirasol2,309.2
notuse2,625.2
ccebada2,338.4
csorgo2,386.7
ctrigo4,265.8
cmaiz4,410.0
csoja14,275.5
csoja24,231.8
cgirasol4,418.4
notuse4,497.5
ccebada4,271.3
csorgo4,284.7
ctrigo5,376.6
cmaiz5,445.1
csoja15,302.4
csoja25,231.8
cgirasol5,434.0
notuse5,608.4
ccebada5,355.5
csorgo5,302.3
ctrigo6,317.6
cmaiz6,535.4
csoja16,276.4
csoja26,231.8
cgirasol6,349.4
notuse6,549.4
ccebada6,355.5
csorgo6,361.1
ctrigo9,323.4
cmaiz9,472.9
csoja19,337.4
csoja29,223.7
cgirasol9,285.4
notuse9,547.1
ccebada9,245.7
csorgo9,352.7
ctrigo10,311.8
cmaiz10,436.1
csoja110,345.5
csoja210,223.7
cgirasol10,303.3
notuse10,535.4
ccebada10,251.3
csorgo10,350.7
ctrigo13,221.4
cmaiz13,475.8
csoja113,294.8
csoja213,240.2
cgirasol13,269.8
notuse13,461.6
ccebada13,198.0
csorgo13,295.0
ctrigo15,228.1
cmaiz15,500.4
csoja115,384.4
csoja215,270.1
cgirasol15,299.0
notuse15,498.2
ccebada15,210.9
csorgo15,303.6
ctrigo16,246.8
cmaiz16,474.6
csoja116,328.3
csoja216,253.5
cgirasol16,285.4
notuse16,500.3
ccebada16,253.7
csorgo16,299.7
ctrigo11,277.7
cmaiz11,428.3
csoja111,312.4
csoja211,240.2
cgirasol11,275.7
notuse11,518.0
csorgo11,301.0
csoja27,231.8
cgirasol7,335.5
notuse7,556.5
ccebada7,360.8
csorgo7,378.1
notuse27,592.6
ctrigo7,324.7
cmaiz7,527.8
csoja17,278.1
notuse14,nan
csoja114,257.5
csoja214,282.2
cgirasol14,291.0
ccebada14,483.2
csorgo14,281.4
ctrigo14,201.0
cmaiz14,424.1
csoja18,325.5
csoja28,231.8
cgirasol8,304.0
notuse8,568.3
ccebada8,230.8
csorgo8,364.5
notuse28,462.6
ctrigo8,336.6
cmaiz8,516.2
csoja112,309.8
csoja212,248.3
cgirasol12,272.3
notuse12,581.9
ccebada12,294.0
csorgo12,325.1
notuse212,542.3
ctrigo12,333.5
cmaiz12,511.0
ccebada3,307.1
csorgo3,340.9
notuse23,538.0
ctrigo3,290.4
cmaiz3,514.2
csoja13,322.5
csoja23,230.9
cgirasol3,340.3
notuse3,521.3
gtrigo1,169.0
gmaiz1,382.7
gsoja11,202.9
gsoja21,156.7
ggirasol1,137.9
gnada1,325.7
gcebada1,151.4
gsorgo1,282.9
gtrigo2,207.3
gmaiz2,412.7
gsoja12,222.2
gsoja22,137.7
ggirasol2,177.4
gnada2,345.0
gcebada2,202.8
gsorgo2,320.3
gtrigo4,122.0
gmaiz4,325.0
gsoja14,156.4
gsoja24,135.9
ggirasol4,120.7
gnada4,257.9
gcebada4,166.2
gsorgo4,176.5
gtrigo5,225.6
gmaiz5,356.5
gsoja15,172.9
gsoja25,120.9
ggirasol5,130.5
gnada5,346.5
gcebada5,252.1
gsorgo5,207.7
gtrigo6,211.1
gmaiz6,390.9
gsoja16,203.0
gsoja26,137.0
ggirasol6,140.8
gnada6,348.0
gcebada6,260.1
gsorgo6,293.2
gtrigo9,159.7
gmaiz9,546.5
gsoja19,240.4
gsoja29,199.5
ggirasol9,174.2
gnada9,359.2
gcebada9,122.7
gsorgo9,369.4
gtrigo10,221.2
gmaiz10,442.4
gsoja110,278.5
gsoja210,246.8
ggirasol10,203.5
gnada10,468.0
gcebada10,188.4
gsorgo10,365.7
gtrigo13,126.1
gmaiz13,531.3
gsoja113,286.4
gsoja213,293.6
ggirasol13,130.5
gnada13,419.6
gcebada13,101.6
gsorgo13,265.7
gtrigo15,148.8
gmaiz15,629.5
gsoja115,288.1
gsoja215,288.4
ggirasol15,237.5
gnada15,437.2
gcebada15,169.6
gsorgo15,364.4
gtrigo16,174.0
gmaiz16,516.1
gsoja116,209.8
gsoja216,155.9
ggirasol16,196.4
gnada16,329.9
gcebada16,304.8
gsorgo16,317.5
gtrigo11,160.7
gmaiz11,318.3
gsoja111,189.2
gsoja211,175.6
ggirasol11,151.9
gnada11,336.3
gsorgo11,249.2
gsoja27,132.3
ggirasol7,154.4
notuse7,359.7
gcebada7,270.7
gsorgo7,331.9
notuse27,403.0
gtrigo7,227.4
gmaiz7,403.0
gsoja17,210.6
notuse14,nan
gsoja114,201.8
gsoja214,182.3
ggirasol14,149.7
gcebada14,291.0
gsorgo14,290.0
gtrigo14,108.7
gmaiz14,404.9
gsoja18,213.0
gsoja28,193.7
ggirasol8,165.2
notuse8,340.6
gcebada8,136.9
gsorgo8,336.4
notuse28,330.7
gtrigo8,146.8
gmaiz8,476.9
gsoja112,153.4
gsoja212,133.7
ggirasol12,113.2
notuse12,313.6
gcebada12,183.6
gsorgo12,256.5
notuse212,317.3
gtrigo12,179.8
gmaiz12,285.2
gcebada3,211.5
gsorgo3,368.8
notuse23,408.4
gtrigo3,208.8
gmaiz3,592.6
gsoja13,268.7
gsoja23,196.9
ggirasol3,212.0
notuse3,405.7
rtrigo1,3.03
rmaiz1,6.87
rsoja11,3.01
rsoja21,2.16
rgirasol1,2.11
rcebada1,2.72
rsorgo1,5.1
rtrigo2,3.72
rmaiz2,7.41
rsoja12,3.3
rsoja22,1.89
rgirasol2,2.71
rcebada2,3.65
rsorgo2,5.77
rtrigo4,2.09
rmaiz4,5.4
rsoja14,2.17
rsoja24,1.76
rgirasol4,1.84
rcebada4,2.39
rsorgo4,2.94
