variable,valor
pgirasol,370
pcebada,204
psorgo,198
ptrigo,229
psoja1,336
psoja2,336
pmaiz,194
ctrigo2,493.1
cmaiz2,657.5
csoja12,325.8
csoja22,262.4
cgirasol2,401.6
notuse2,755.5
ccebada2,412.1
csorgo2,542.7
ctrigo3,382.2
cmaiz3,587.2
csoja13,270
csoja23,262.4
cgirasol3,407.9
notuse3,644.5
ccebada3,369.1
csorgo3,475.3
ctrigo4,331
cmaiz4,493.4
csoja14,262
csoja24,261.3
cgirasol4,368.9
notuse4,592.3
ccebada4,327.9
csorgo4,389.8
ctrigo5,419.4
cmaiz5,555.3
csoja15,287.4
csoja25,258.5
cgirasol5,367.7
notuse5,677.8
ccebada5,592.6
csorgo5,422.9
ctrigo6,409.5
cmaiz6,542.6
csoja16,304.6
csoja26,258.5
cgirasol6,376.4
notuse6,668
ccebada6,425.3
csorgo6,478.9
ctrigo7,396.3
cmaiz7,567
csoja17,306.5
csoja27,262.3
cgirasol7,401.7
notuse7,658.6
ccebada7,438.8
csorgo7,513.1
ctrigo8,404.7
cmaiz8,588.4
csoja18,301.9
csoja28,261.4
cgirasol8,373.8
notuse8,666.1
ccebada8,269.9
csorgo8,483
ctrigo9,386.1
cmaiz9,542.9
csoja19,311.4
csoja29,265
cgirasol9,365.2
notuse9,651.1
ccebada9,265.4
csorgo9,472.8
ctrigo10,370.1
cmaiz10,513.6
csoja110,311.4
csoja210,262.4
cgirasol10,381.4
notuse10,632.6
ccebada10,295.7
csorgo10,475.4
ctrigo12,392.1
cmaiz12,611.8
csoja112,296.1
csoja212,291.7
cgirasol12,349.9
notuse12,683.8
ccebada12,341
csorgo12,457.1
ctrigo13,247.9
cmaiz13,503.9
csoja113,330.5
csoja213,284.4
cgirasol13,338
notuse13,532.3
ccebada13,228.3
csorgo13,379.7
ctrigo15,257.5
cmaiz15,572.2
csoja115,373.7
csoja215,320
cgirasol15,347.7
notuse15,577.5
ccebada15,242.6
csorgo15,387.6
ctrigo16,294.7
cmaiz16,538
csoja116,314
csoja216,279
cgirasol16,359.8
notuse16,577.5
ccebada16,307.1
csorgo16,399.7
ctrigo11,330.4
cmaiz11,511
csoja111,296.3
csoja211,273.7
cgirasol11,349.9
notuse11,604.1
csorgo11,391
ccebada11,1
ctrigo14,236.3
cmaiz14,506.8
csoja114,298.5
csoja214,302
cgirasol14,331.5
notuse14,538.3
csorgo14,376
ccebada14,1
gtrigo2,240.1
gmaiz2,454.6
gsoja12,267.3
gsoja22,171.9
ggirasol2,199.6
gnada2,412
gcebada2,227.8
gsorgo2,336.1
gtrigo3,219.6
gmaiz3,622.9
gsoja13,308
gsoja23,232.3
ggirasol3,228.5
gnada3,451.9
gcebada3,210
gsorgo3,377.8
gtrigo4,125.3
gmaiz4,331.7
gsoja14,172.3
gsoja24,147.7
ggirasol4,130.6
gnada4,273
gcebada4,167.4
gsorgo4,189.5
gtrigo5,247.6
gmaiz5,368.4
gsoja15,190.4
gsoja25,130.8
ggirasol5,143.2
gnada5,378.4
gcebada5,262.8
gsorgo5,209.7
gtrigo6,226.7
gmaiz6,406.8
gsoja16,229.9
gsoja26,163.1
ggirasol6,156.7
gnada6,389.7
gcebada6,269.9
gsorgo6,300.9
gtrigo7,261.2
gmaiz7,420.6
gsoja17,241.5
gsoja27,153.1
ggirasol7,168.2
gnada7,414.3
gcebada7,292.8
gsorgo7,345.6
gtrigo8,156.7
gmaiz8,517.7
gsoja18,244.5
gsoja28,225.3
ggirasol8,181.5
gnada8,381.9
gcebada8,140.6
gsorgo8,356.8
gtrigo9,171.3
gmaiz9,597.9
gsoja19,293.8
gsoja29,244.5
ggirasol9,193
gnada9,415.8
gcebada9,132.9
gsorgo9,402
gtrigo10,222.2
gmaiz10,546.1
gsoja110,332
gsoja210,298.5
ggirasol10,228.2
gnada10,520.7
gcebada10,187.6
gsorgo10,399.2
gtrigo12,184.4
gmaiz12,336.6
gsoja112,193.9
gsoja212,169.8
ggirasol12,137.9
gnada12,354.2
gcebada12,196.3
gsorgo12,282.2
gtrigo13,126.9
gmaiz13,518.7
gsoja113,302
gsoja213,306
ggirasol13,152.6
gnada13,433
gcebada13,97.2
gsorgo13,266.3
gtrigo15,151.8
gmaiz15,642.1
gsoja115,328.4
gsoja215,333.7
ggirasol15,272.6
gnada15,485.5
gcebada15,158.1
gsorgo15,375.4
gtrigo16,191.5
gmaiz16,551.8
gsoja116,230.7
gsoja216,160.9
ggirasol16,211.1
gnada16,1
gcebada16,314.6
gsorgo16,337.6
gtrigo11,157.5
gmaiz11,351.4
gsoja111,212.5
gsoja211,201
ggirasol11,176.5
gnada11,358.5
gsorgo11,268.8
gcebada11,1
gtrigo14,118.5
gmaiz14,397.8
gsoja114,204.5
gsoja214,185.3
ggirasol14,166.9
gnada14,303.8
gsorgo14,293.7
gcebada14,1
gesptrigo1,89.7
gespmaiz1,224.3
gespsoja11,224.3
gespsoja21,134.6
gespgirasol1,224.3
gespcebada1,89.7
gespsorgo1,224.3
gesptrigo2,95.5
gespmaiz2,238.7
gespsoja12,238.7
gespsoja22,143.2
gespgirasol2,238.7
gespcebada2,95.5
gespsorgo2,238.7
gesptrigo3,74.7
gespmaiz3,186.8
gespsoja13,186.8
gespsoja23,112.1
gespgirasol3,186.8
gespcebada3,74.7
gespsorgo3,186.8
gesptrigo4,88.4
gespmaiz4,147.3
gespsoja14,147.3
gespsoja24,58.9
gespgirasol4,147.3
gespcebada4,88.4
gespsorgo4,147.3
gesptrigo5,127.1
gespmaiz5,181.6
gespsoja15,181.6
gespsoja25,54.5
gespgirasol5,181.6
gespcebada5,72.6
gespsorgo5,181.6
gesptrigo6,70.4
gespmaiz6,176
gespsoja16,176
gespsoja26,105.6
gespgirasol6,176
gespcebada6,70.4
gespsorgo6,176
gesptrigo7,69.2
gespmaiz7,173
gespsoja17,173
gespsoja27,103.8
gespgirasol7,173
gespcebada7,69.2
gespsorgo7,173
gesptrigo8,90.7
gespmaiz8,226.7
gespsoja18,226.7
gespsoja28,136
gespgirasol8,226.7
gespcebada8,90.7
gespsorgo8,226.7
gesptrigo9,73.9
gespmaiz9,184.7
gespsoja19,184.7
gespsoja29,110.8
gespgirasol9,184.7
gespcebada9,73.9
gespsorgo9,184.7
gesptrigo10,51
gespmaiz10,127.6
gespsoja110,127.6
gespsoja210,76.6
gespgirasol10,127.6
gespcebada10,51
gespsorgo10,127.6
gesptrigo11,39.4
gespmaiz11,98.6
gespsoja111,98.6
gespsoja211,59.1
gespgirasol11,98.6
gespcebada11,1
gespsorgo11,98.6
gesptrigo12,44.1
gespmaiz12,110.2
gespsoja112,110.2
gespsoja212,66.1
gespgirasol12,110.2
gespcebada12,44.1
gespsorgo12,110.2
gesptrigo13,40.8
gespmaiz13,101.9
gespsoja113,101.9
gespsoja213,61.2
gespgirasol13,101.9
gespcebada13,40.8
gespsorgo13,101.9
gesptrigo14,36.2
gespmaiz14,90.6
gespsoja114,90.6
gespsoja214,54.3
gespgirasol14,90.6
gespcebada14,1
gespsorgo14,90.6
gesptrigo15,38.6
gespmaiz15,96.6
gespsoja115,96.6
gespsoja215,57.9
gespgirasol15,96.6
gespcebada15,38.6
gespsorgo15,96.6
gesptrigo16,44.1
gespmaiz16,110.3
gespsoja116,110.3
gespsoja216,66.2
gespgirasol16,110.3
gespcebada16,44.1
gespsorgo16,110.3
gesatrigo,23.8
gesamaiz,59.4
gesasoja1,59.4
gesasoja2,35.7
gesagirasol,59.4
gesacebada,23.8
gesasorgo,59.4
arrendmaiz1,608
arrendgirasol1,608
arrendsoja11,608
arrendsorgo1,608
arrendsoja21,243.2
arrendtrigo1,364.8
arrendcebada1,364.8
arrendmaiz2,540
arrendgirasol2,540
arrendsoja12,540
arrendsorgo2,540
arrendsoja22,216
arrendtrigo2,324
arrendcebada2,324
arrendmaiz3,473
arrendgirasol3,473
arrendsoja13,473
arrendsorgo3,473
arrendsoja23,189.2
arrendtrigo3,283.8
arrendcebada3,283.8
arrendmaiz4,338
arrendgirasol4,338
arrendsoja14,338
arrendsorgo4,338
arrendsoja24,135.2
arrendtrigo4,202.8
arrendcebada4,202.8
arrendmaiz5,439
arrendgirasol5,439
arrendsoja15,439
arrendsorgo5,439
arrendsoja25,175.6
arrendtrigo5,263.4
arrendcebada5,263.4
arrendmaiz6,371
arrendgirasol6,371
arrendsoja16,371
arrendsorgo6,371
arrendsoja26,148.4
arrendtrigo6,222.6
arrendcebada6,222.6
arrendmaiz7,304
arrendgirasol7,304
arrendsoja17,304
arrendsorgo7,304
arrendsoja27,121.6
arrendtrigo7,182.4
arrendcebada7,182.4
arrendmaiz8,405
arrendgirasol8,405
arrendsoja18,405
arrendsorgo8,405
arrendsoja28,162
arrendtrigo8,243
arrendcebada8,243
arrendmaiz9,439
arrendgirasol9,439
arrendsoja19,439
arrendsorgo9,439
arrendsoja29,175.6
arrendtrigo9,263.4
arrendcebada9,263.4
arrendmaiz10,338
arrendgirasol10,338
arrendsoja110,338
arrendsorgo10,338
arrendsoja210,135.2
arrendtrigo10,202.8
arrendcebada10,202.8
arrendmaiz11,169
arrendgirasol11,169
arrendsoja111,169
arrendsorgo11,169
arrendsoja211,67.6
arrendtrigo11,101.4
arrendcebada11,101.4
arrendmaiz12,236
arrendgirasol12,236
arrendsoja112,236
arrendsorgo12,236
arrendsoja212,94.4
arrendtrigo12,141.6
arrendcebada12,141.6
arrendmaiz13,270
arrendgirasol13,270
arrendsoja113,270
arrendsorgo13,270
arrendsoja213,108
arrendtrigo13,162
arrendcebada13,162
arrendmaiz14,270
arrendgirasol14,270
arrendsoja114,270
arrendsorgo14,270
arrendsoja214,108
arrendtrigo14,162
arrendcebada14,162
arrendmaiz15,270
arrendgirasol15,270
arrendsoja115,270
arrendsorgo15,270
arrendsoja215,108
arrendtrigo15,162
arrendcebada15,162
arrendmaiz16,236
arrendgirasol16,236
arrendsoja116,236
arrendsorgo16,236
arrendsoja216,94.4
arrendtrigo16,141.6
arrendcebada16,141.6
ctrigo1,425.4
cmaiz1,650.9
csoja11,339.2
csoja21,266.2
cgirasol1,391.5
notuse1,691.6
ccebada1,371
csorgo1,511.8
gtrigo1,190.3
gmaiz1,441.5
gsoja11,253.4
gsoja21,207.2
ggirasol1,166.4
gnada1,397.5
gcebada1,168
gsorgo1,312
rtrigo1,3.32
rmaiz1,7.85
rsoja11,3.46
rsoja21,2.64
rgirasol1,2.34
rcebada1,3.04
rsorgo1,5.5
rtrigo2,4.18
rmaiz2,8.08
rsoja12,3.65
rsoja22,2.19
rgirasol2,2.81
rcebada2,4.13
rsorgo2,5.92
rtrigo3,2.79
rmaiz3,7.86
rsoja13,3.2
rsoja23,2.29
